,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
188,Intel Core i3 10110U,15.6,4.0,"NVIDIA GeForce MX130, 2GB",Lenovo,0,1000,https://btech.com/en/lenovo-ip3-i3-1005g1-1tb-4gb-win-mx130-bk.html,2,1,10499.0,btech
189,Intel Core i7-10750H,15.6,8.0,NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics,Lenovo,512,0,https://btech.com/en/lenovo-ideapad-gaming3-81y4001hus-laptop-i710750h-windows10.html,2,0,20500.0,btech
190,Intel Core i3-1115G4,15.6,4.0,Intel UHD Graphics,HP,256,0,https://btech.com/en/hp-15s-fq2012nm-i3-1115g4-256gb-4gb-w10.html,2,1,9699.0,btech
191,Intel Core i7-11800H,15.6,16.0,"NVIDIA GeForce RTX 3050 Ti, 4GB",Lenovo,0,1000,https://btech.com/en/lenovo-legion-5-laptop-intel-core-i7-11800h-1tb-hdd.html,1,1,26500.0,btech
192,AMD Ryzen 7 3700U,15.6,8.0,Radeon Vega 8 Graphics,VAIO,512,0,https://btech.com/en/vaio-e15-ryzen-7-3700u-512gb-8gb-w10-bk.html,2,1,16399.0,btech
193,Intel Core i7-11800H,16.0,16.0,"NVIDIA-RTX 3050 Ti, 4GB",Lenovo,512,0,https://btech.com/en/lenovo-legion-5-pro-16ith6-gaming-laptop-i7-11800h-16inch.html,1,0,28500.0,btech
194,AMD Ryzen 5 4500U,15.6,8.0,AMD Radeon Graphics,Lenovo,512,0,https://btech.com/en/lenovo-ideapad-5-ryzen-5-4500u-512gb-8gb-gy.html,2,1,12599.0,btech
195,Intel Core i7-11370H,15.6,8.0,Nvidia GeForce RTX 3050Ti 4GB,Lenovo,256,0,https://btech.com/en/lenovo-gaming-3-laptop-i711370h-1tb-hdd-256gb-ssd.html,2,0,21999.0,btech
196,AMD R5-5600H,15.6,8.0,Nvidia GTX1650 4G,Lenovo,512,0,https://btech.com/en/lenovo-gaming-3-amd-r5-5600h-512gb-8-bk.html,2,0,19499.0,btech
198,AMD Ryzen 7 5800H,16.0,16.0,"NVIDIA GeForce RTX 3070, 8GB",Lenovo,512,0,https://btech.com/en/lenovo-5-pro-ryzen-7-5800h-512gb-16gb-3070-gy.html,2,1,43599.0,btech
199,i5-10300H,15.6,8.0,GTX 1650,Dell,256,0,https://btech.com/en/dell-3500-laptop-i5-10300h-black-1629885365.html,1,1,17699.0,btech
201,ايه amd ryzen 7 4800H,15.6,16.0,نيفيديا جيفورس GTX 1650 سعة 4 جيجا بايت,لاب,512,0,https://btech.com/en/lenovo-legion-5-ryzen-7-4800h-1tb-512gb-bk.html,1,1,25699.0,btech
202,AMD Ryzen 3 3200U,15.6,8.0,كارت شاشة ايه ام دي راديون فيجا 3,لاب,0,1000,https://btech.com/en/lenovo-ideapad-s145-15api-amd-ryzen3-3200u.html,1,1,8858.0,btech
204,intel core i3-1115G4,15.6,4.0,انتل الترا اتش دي جرافيكس,لاب,0,1000,https://btech.com/en/dell-vostro15-3510-laptop-i3-1115g4-black.html,1,1,8728.0,btech
205,Intel Core i3-1115G4,15.6,4.0,Intel UHD Graphics,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad-3-i3-1115g4-1tb-4gb-win-blue.html,2,1,9999.0,btech
206,intel core i3-1115G4,15.6,4.0,انتل UHD جرافيكس,لاب,0,1000,https://btech.com/en/dell-vostro-3510-laptop-mp7124.html,1,1,8760.0,btech
207,Intel i7-11800H,15.6,16.0,Nvidia RTX3050 4G,Dell,512,0,https://btech.com/en/dell-g15-5511-i7-11800h-512-16-gry.html,2,1,26399.0,btech
208,intel core i5-10500H,15.6,8.0,نيفيديا RTX 3050 سعة 4 جيجا,ديل,512,0,https://btech.com/en/dell-g15-5510-i5-10500h-15-6-512-8gb-win-10-grey-1639991023.html,1,1,17500.0,btech
